  
       RFOIL         Version 3.00
  
 Calculated polar for: FFA-W3-211                      
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     12.00000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.21500002E+02    -0.11189100E+01     0.12820618E+00     0.12000000E+02     0.32317784E-01     0.65595126E+00     0.39007515E-03     0.12512667E+00      94     0.69178350E-01
-0.20500000E+02    -0.11173484E+01     0.11275741E+00     0.12000000E+02     0.19289084E-01     0.63114667E+00     0.39078834E-03     0.10944795E+00      95     0.63184075E-01
-0.19500000E+02    -0.11084913E+01     0.99417947E-01     0.12000000E+02     0.91832206E-02     0.60857749E+00     0.38999706E-03     0.95902279E-01      95     0.63184075E-01
-0.18500002E+02    -0.10970707E+01     0.86992018E-01     0.12000000E+02     0.76889270E-03     0.57858354E+00     0.39144256E-03     0.83264157E-01      96     0.57456933E-01
-0.18000000E+02    -0.10704094E+01     0.83730236E-01     0.12000000E+02    -0.36290116E-02     0.56293929E+00     0.39150738E-03     0.79949364E-01      96     0.57456933E-01
-0.17500000E+02    -0.10697280E+01     0.77141665E-01     0.12000000E+02    -0.67052729E-02     0.55647188E+00     0.39203931E-03     0.73268548E-01      97     0.52015904E-01
-0.17000002E+02    -0.10640093E+01     0.71574986E-01     0.12000000E+02    -0.91376118E-02     0.54391915E+00     0.39235907E-03     0.67612067E-01      97     0.52015904E-01
-0.16500000E+02    -0.10583794E+01     0.66144362E-01     0.12000000E+02    -0.11438908E-01     0.53775364E+00     0.39276868E-03     0.62104095E-01      97     0.52015904E-01
-0.16000002E+02    -0.10423596E+01     0.61461620E-01     0.12000000E+02    -0.15067828E-01     0.50000001E-01     0.39277165E-03     0.56618214E-01      98     0.46883687E-01
-0.70000014E+01    -0.52001017E+00     0.10386214E-01     0.12000000E+02    -0.61441068E-01     0.50000001E-01     0.80847694E-03     0.44882661E-02     107     0.15044102E-01
-0.65000010E+01    -0.45514286E+00     0.99519044E-02     0.12000000E+02    -0.64027242E-01     0.50000001E-01     0.47848863E-02     0.40349807E-02     108     0.12913344E-01
-0.60000000E+01    -0.39130381E+00     0.96736876E-02     0.12000000E+02    -0.66116042E-01     0.50000001E-01     0.63715903E-02     0.37432192E-02     109     0.10978207E-01
-0.55000014E+01    -0.32728791E+00     0.93931248E-02     0.12000000E+02    -0.68207234E-01     0.50000001E-01     0.11798470E-01     0.34627067E-02     110     0.92088375E-02
-0.50000010E+01    -0.26348642E+00     0.91594225E-02     0.12000000E+02    -0.70165962E-01     0.50000001E-01     0.18254356E-01     0.32333247E-02     111     0.75914040E-02
-0.45000000E+01    -0.19998232E+00     0.89802751E-02     0.12000000E+02    -0.71976170E-01     0.50000001E-01     0.24160299E-01     0.30552968E-02     112     0.61257072E-02
-0.40000014E+01    -0.13548385E+00     0.86935600E-02     0.12000000E+02    -0.74105442E-01     0.50000001E-01     0.50000001E-01     0.28297077E-02     113     0.48155636E-02
-0.35000007E+01    -0.72766520E-01     0.86367335E-02     0.12000000E+02    -0.75590007E-01     0.50000001E-01     0.50000001E-01     0.27513225E-02     114     0.36686435E-02
-0.30000000E+01    -0.10119129E-01     0.85944543E-02     0.12000000E+02    -0.77046387E-01     0.50000001E-01     0.50000001E-01     0.26893523E-02     115     0.26926829E-02
-0.25000012E+01     0.52448560E-01     0.85662203E-02     0.12000000E+02    -0.78474559E-01     0.50000001E-01     0.50000001E-01     0.26431205E-02     116     0.18817884E-02
-0.20000007E+01     0.11492397E+00     0.85516702E-02     0.12000000E+02    -0.79875469E-01     0.50000001E-01     0.50000001E-01     0.26122918E-02     117     0.12315592E-02
-0.15000000E+01     0.17729458E+00     0.85504679E-02     0.12000000E+02    -0.81249408E-01     0.50000001E-01     0.50000001E-01     0.25965348E-02     118     0.73544716E-03
-0.10000012E+01     0.23955046E+00     0.85622733E-02     0.12000000E+02    -0.82595401E-01     0.50000001E-01     0.50000001E-01     0.25953804E-02     119     0.34854238E-03
-0.50000060E+00     0.30168357E+00     0.85869338E-02     0.12000000E+02    -0.83912686E-01     0.50000001E-01     0.50000001E-01     0.26090019E-02     119     0.34854238E-03
 0.00000000E+00     0.36367208E+00     0.86243637E-02     0.12000000E+02    -0.85201696E-01     0.50000001E-01     0.50000001E-01     0.26370063E-02     120     0.00000000E+00
 0.49999887E+00     0.42551059E+00     0.86744344E-02     0.12000000E+02    -0.86460277E-01     0.50000001E-01     0.50000001E-01     0.26790290E-02     120     0.00000000E+00
 0.99999946E+00     0.48718476E+00     0.87369960E-02     0.12000000E+02    -0.87687977E-01     0.50000001E-01     0.50000001E-01     0.27355724E-02     121     0.38640472E-03
 0.14999983E+01     0.54867357E+00     0.88122049E-02     0.12000000E+02    -0.88884041E-01     0.50000001E-01     0.50000001E-01     0.28062863E-02     122     0.82314468E-03
 0.19999989E+01     0.60996991E+00     0.89000212E-02     0.12000000E+02    -0.90046093E-01     0.50000001E-01     0.50000001E-01     0.28912676E-02     123     0.13984459E-02
 0.24999995E+01     0.67105621E+00     0.90005137E-02     0.12000000E+02    -0.91173328E-01     0.50000001E-01     0.50000001E-01     0.29905261E-02     124     0.21499037E-02
 0.29999983E+01     0.73191184E+00     0.91138659E-02     0.12000000E+02    -0.92263721E-01     0.50000001E-01     0.50000001E-01     0.31042364E-02     125     0.30721342E-02
 0.34999990E+01     0.79252380E+00     0.92402287E-02     0.12000000E+02    -0.93315296E-01     0.50000001E-01     0.50000001E-01     0.32326244E-02     126     0.41653467E-02
 0.39999995E+01     0.85286862E+00     0.93797613E-02     0.12000000E+02    -0.94326101E-01     0.50000001E-01     0.50000001E-01     0.33757319E-02     127     0.54269903E-02
 0.44999986E+01     0.90966952E+00     0.10043404E-01     0.12000000E+02    -0.94869293E-01     0.69735467E-03     0.50000001E-01     0.38881614E-02     128     0.68495362E-02
 0.49999990E+01     0.96868807E+00     0.10288853E-01     0.12000000E+02    -0.95695302E-01     0.63898764E-03     0.50000001E-01     0.41290247E-02     129     0.84384652E-02
 0.54999995E+01     0.10272303E+01     0.10557398E-01     0.12000000E+02    -0.96453667E-01     0.59449580E-03     0.50000001E-01     0.43943361E-02     130     0.10201980E-01
 0.60000000E+01     0.10852357E+01     0.10851582E-01     0.12000000E+02    -0.97136892E-01     0.55134558E-03     0.50000001E-01     0.46865894E-02     131     0.12153643E-01
 0.69999981E+01     0.11992478E+01     0.11535274E-01     0.12000000E+02    -0.98220415E-01     0.35810473E-03     0.50000001E-01     0.53696223E-02     132     0.14322103E-01
 0.74999986E+01     0.12551094E+01     0.11925364E-01     0.12000000E+02    -0.98605841E-01     0.35510471E-03     0.50000001E-01     0.57652239E-02     133     0.16751055E-01
