  
       RFOIL         Version 3.00
  
 Calculated polar for: FFA-W3-270                      
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     16.00000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.20000002E+02    -0.93910486E+00     0.13434114E+00     0.16000000E+02     0.28312741E-01     0.50000001E-01     0.25768304E-03     0.12997121E+00      95     0.48277605E-01
-0.17500000E+02    -0.87225717E+00     0.10813055E+00     0.16000000E+02     0.85158907E-02     0.50000001E-01     0.29004278E-03     0.10349126E+00      97     0.40115938E-01
-0.17000002E+02    -0.81264049E+00     0.11017589E+00     0.16000000E+02     0.24171402E-02     0.50000001E-01     0.26092399E-03     0.10558686E+00      98     0.36398232E-01
-0.16000002E+02    -0.82475525E+00     0.93897223E-01     0.16000000E+02    -0.44283166E-03     0.50000001E-01     0.28098852E-03     0.89114457E-01      99     0.32914273E-01
-0.15500001E+02    -0.78575975E+00     0.92299834E-01     0.16000000E+02    -0.49491734E-02     0.50000001E-01     0.27345103E-03     0.87523952E-01      99     0.32914273E-01
-0.15000001E+02    -0.77479404E+00     0.86810611E-01     0.16000000E+02    -0.71837255E-02     0.50000001E-01     0.28066643E-03     0.81976280E-01     100     0.29655322E-01
-0.14500000E+02    -0.76292664E+00     0.81576459E-01     0.16000000E+02    -0.92960428E-02     0.50000001E-01     0.28713339E-03     0.76685831E-01     100     0.29655322E-01
-0.14000001E+02    -0.75017840E+00     0.76552860E-01     0.16000000E+02    -0.11281424E-01     0.50000001E-01     0.29294018E-03     0.71607366E-01     101     0.26613265E-01
-0.13500001E+02    -0.73647493E+00     0.71710490E-01     0.16000000E+02    -0.13149605E-01     0.50000001E-01     0.29895618E-03     0.66712484E-01     101     0.26613265E-01
-0.13000001E+02    -0.72176534E+00     0.67115441E-01     0.16000000E+02    -0.14907554E-01     0.50000001E-01     0.30344340E-03     0.62066957E-01     102     0.23781817E-01
-0.12500001E+02    -0.70623553E+00     0.62761724E-01     0.16000000E+02    -0.16539276E-01     0.50000001E-01     0.30615035E-03     0.57664659E-01     102     0.23781817E-01
-0.12000000E+02    -0.68990368E+00     0.58591131E-01     0.16000000E+02    -0.18060366E-01     0.50000001E-01     0.32467867E-03     0.53447589E-01     103     0.21154808E-01
-0.11500001E+02    -0.67242187E+00     0.54640479E-01     0.16000000E+02    -0.19486226E-01     0.50000001E-01     0.32938228E-03     0.49453065E-01     103     0.21154808E-01
-0.11000001E+02    -0.65394789E+00     0.50860990E-01     0.16000000E+02    -0.20811357E-01     0.50000001E-01     0.33268635E-03     0.45631777E-01     104     0.18725244E-01
-0.10500001E+02    -0.63466120E+00     0.47281690E-01     0.16000000E+02    -0.22029672E-01     0.50000001E-01     0.33420982E-03     0.42012669E-01     105     0.16485991E-01
-0.95000010E+01    -0.64215291E+00     0.37174251E-01     0.16000000E+02    -0.23631845E-01     0.50000001E-01     0.30670464E-01     0.31895012E-01     105     0.16485991E-01
-0.90000000E+01    -0.62103260E+00     0.34253012E-01     0.16000000E+02    -0.24423277E-01     0.50000001E-01     0.32160107E-01     0.28938007E-01     106     0.14427884E-01
-0.80000010E+01    -0.59995228E+00     0.27483201E-01     0.16000000E+02    -0.25387822E-01     0.50000001E-01     0.50000001E-01     0.22149842E-01     107     0.12539192E-01
-0.75000005E+01    -0.57787019E+00     0.25167951E-01     0.16000000E+02    -0.25720593E-01     0.50000001E-01     0.50000001E-01     0.19793814E-01     108     0.10807708E-01
-0.70000014E+01    -0.56021643E+00     0.22783538E-01     0.16000000E+02    -0.25802154E-01     0.50000001E-01     0.50000001E-01     0.17365884E-01     108     0.10807708E-01
-0.65000010E+01    -0.54745775E+00     0.20332163E-01     0.16000000E+02    -0.25454676E-01     0.50000001E-01     0.50000001E-01     0.14869137E-01     109     0.92230067E-02
-0.60000000E+01    -0.53251970E+00     0.18117465E-01     0.16000000E+02    -0.25845265E-01     0.50000001E-01     0.50000001E-01     0.12602569E-01     109     0.92230067E-02
-0.55000014E+01    -0.47507924E+00     0.16545426E-01     0.16000000E+02    -0.31402182E-01     0.50000001E-01     0.50000001E-01     0.10986227E-01     110     0.77783512E-02
-0.50000010E+01    -0.40807384E+00     0.15412549E-01     0.16000000E+02    -0.37273541E-01     0.50000001E-01     0.50000001E-01     0.98179765E-02     111     0.64687869E-02
-0.45000000E+01    -0.33606747E+00     0.14435946E-01     0.16000000E+02    -0.43573547E-01     0.50000001E-01     0.50000001E-01     0.88064866E-02     112     0.52902820E-02
-0.40000014E+01    -0.26079836E+00     0.13584897E-01     0.16000000E+02    -0.50103795E-01     0.50000001E-01     0.50000001E-01     0.79203658E-02     114     0.33138380E-02
-0.35000007E+01    -0.18379743E+00     0.12857908E-01     0.16000000E+02    -0.56587636E-01     0.50000001E-01     0.50000001E-01     0.71591460E-02     115     0.25086198E-02
-0.30000000E+01    -0.10612893E+00     0.12241957E-01     0.16000000E+02    -0.62868193E-01     0.50000001E-01     0.50000001E-01     0.65095224E-02     116     0.18187612E-02
-0.25000012E+01    -0.28441710E-01     0.11715033E-01     0.16000000E+02    -0.68877377E-01     0.50000001E-01     0.50000001E-01     0.59487619E-02     117     0.12417448E-02
-0.20000007E+01     0.48745979E-01     0.11263646E-01     0.16000000E+02    -0.74549213E-01     0.50000001E-01     0.50000001E-01     0.54623927E-02     118     0.77148736E-03
-0.15000000E+01     0.12458640E+00     0.10895067E-01     0.16000000E+02    -0.79693139E-01     0.50000001E-01     0.50000001E-01     0.50582909E-02     119     0.37367182E-03
-0.10000012E+01     0.19917847E+00     0.10588773E-01     0.16000000E+02    -0.84389381E-01     0.50000001E-01     0.50000001E-01     0.47148275E-02     120     0.00000000E+00
-0.50000060E+00     0.26942658E+00     0.10450870E-01     0.16000000E+02    -0.87744422E-01     0.50000001E-01     0.50000001E-01     0.45552426E-02     121     0.14958953E-03
 0.00000000E+00     0.33746806E+00     0.10396687E-01     0.16000000E+02    -0.90434603E-01     0.50000001E-01     0.50000001E-01     0.44880263E-02     121     0.14958953E-03
 0.49999887E+00     0.40474665E+00     0.10373495E-01     0.16000000E+02    -0.92897020E-01     0.50000001E-01     0.50000001E-01     0.44541978E-02     123     0.60377765E-03
 0.99999946E+00     0.47140905E+00     0.10375654E-01     0.16000000E+02    -0.95182732E-01     0.50000001E-01     0.50000001E-01     0.44474327E-02     124     0.96513279E-03
 0.14999983E+01     0.53753346E+00     0.10399942E-01     0.16000000E+02    -0.97320288E-01     0.50000001E-01     0.50000001E-01     0.44642924E-02     125     0.14458054E-02
 0.19999989E+01     0.60317099E+00     0.10444589E-01     0.16000000E+02    -0.99327989E-01     0.50000001E-01     0.50000001E-01     0.45027789E-02     126     0.20601489E-02
 0.24999995E+01     0.66834480E+00     0.10507868E-01     0.16000000E+02    -0.10121794E+00     0.50000001E-01     0.50000001E-01     0.45611747E-02     127     0.28094384E-02
 0.29999983E+01     0.73306721E+00     0.10588843E-01     0.16000000E+02    -0.10299688E+00     0.50000001E-01     0.50000001E-01     0.46384861E-02     128     0.37001916E-02
 0.34999990E+01     0.79733616E+00     0.10687510E-01     0.16000000E+02    -0.10467037E+00     0.50000001E-01     0.50000001E-01     0.47346074E-02     129     0.47433502E-02
 0.39999995E+01     0.86114705E+00     0.10803337E-01     0.16000000E+02    -0.10624036E+00     0.50000001E-01     0.50000001E-01     0.48489771E-02     130     0.59516532E-02
 0.44999986E+01     0.92448270E+00     0.10936255E-01     0.16000000E+02    -0.10770811E+00     0.50000001E-01     0.50000001E-01     0.49815248E-02     131     0.73416964E-02
 0.49999990E+01     0.98732454E+00     0.11086212E-01     0.16000000E+02    -0.10907239E+00     0.50000001E-01     0.50000001E-01     0.51322710E-02     132     0.89333374E-02
 0.54999995E+01     0.10429313E+01     0.11965730E-01     0.16000000E+02    -0.10936069E+00     0.75713953E-03     0.50000001E-01     0.58501223E-02     133     0.10744327E-01
 0.60000000E+01     0.11032891E+01     0.12245672E-01     0.16000000E+02    -0.11030623E+00     0.71502017E-03     0.50000001E-01     0.61237062E-02     134     0.12783395E-01
 0.65000010E+01     0.11627545E+01     0.12554434E-01     0.16000000E+02    -0.11109497E+00     0.68843144E-03     0.50000001E-01     0.64273183E-02     135     0.15058265E-01
 0.69999981E+01     0.12211974E+01     0.12894602E-01     0.16000000E+02    -0.11170716E+00     0.66305639E-03     0.50000001E-01     0.67635551E-02     136     0.17579051E-01
 0.74999986E+01     0.12784369E+01     0.13269559E-01     0.16000000E+02    -0.11211848E+00     0.63323660E-03     0.50000001E-01     0.71355752E-02     136     0.17579051E-01
