  
       RFOIL         Version 3.00
  
 Calculated polar for: s831                            
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     10.00000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.17000002E+02    -0.63229436E+00     0.59478696E-01     0.10000000E+02    -0.13490300E+00     0.69316268E+00     0.10267026E-02     0.57500686E-01     107     0.50970450E-01
-0.16500000E+02    -0.61984462E+00     0.55910803E-01     0.10000000E+02    -0.13873906E+00     0.68990064E+00     0.10110290E-02     0.53918749E-01     107     0.50970450E-01
-0.16000002E+02    -0.59500527E+00     0.54311290E-01     0.10000000E+02    -0.14107646E+00     0.68646079E+00     0.99636824E-03     0.52329961E-01     107     0.50970450E-01
-0.15500001E+02    -0.54689521E+00     0.56855552E-01     0.10000000E+02    -0.14205246E+00     0.50000001E-01     0.99952694E-03     0.53614352E-01     108     0.43719005E-01
-0.15000001E+02    -0.51097047E+00     0.57054479E-01     0.10000000E+02    -0.14294937E+00     0.50000001E-01     0.97460678E-03     0.53824566E-01     108     0.43719005E-01
-0.14500000E+02    -0.48655245E+00     0.55597462E-01     0.10000000E+02    -0.14479706E+00     0.50000001E-01     0.95914979E-03     0.52357160E-01     108     0.43719005E-01
-0.14000001E+02    -0.44054937E+00     0.57281680E-01     0.10000000E+02    -0.14439389E+00     0.50000001E-01     0.93532348E-03     0.54064915E-01     109     0.36885433E-01
-0.13000001E+02    -0.70462579E+00     0.15831051E-01     0.10000000E+02    -0.14324261E+00     0.50000001E-01     0.94600581E-03     0.10857020E-01     108     0.43719005E-01
-0.12500001E+02    -0.65917081E+00     0.15047296E-01     0.10000000E+02    -0.14371872E+00     0.50000001E-01     0.92532509E-03     0.99928584E-02     108     0.43719005E-01
-0.12000000E+02    -0.61101979E+00     0.14473822E-01     0.10000000E+02    -0.14413002E+00     0.50000001E-01     0.90018829E-03     0.93652382E-02     109     0.36885433E-01
-0.11000001E+02    -0.90594642E-01     0.86098611E-01     0.10000000E+02    -0.12509441E+00     0.50000001E-01     0.83570025E-03     0.82858734E-01     113     0.15814468E-01
-0.95000010E+01    -0.36027068E+00     0.11026510E-01     0.10000000E+02    -0.14668120E+00     0.50000001E-01     0.14764351E-02     0.53831744E-02     111     0.24937455E-01
-0.90000000E+01    -0.30656847E+00     0.10668133E-01     0.10000000E+02    -0.14745921E+00     0.50000001E-01     0.15145123E-02     0.49610985E-02     111     0.24937455E-01
-0.85000019E+01    -0.25252265E+00     0.10351399E-01     0.10000000E+02    -0.14824682E+00     0.50000001E-01     0.15625436E-02     0.45831087E-02     112     0.20008549E-01
-0.80000010E+01    -0.19824532E+00     0.10074249E-01     0.10000000E+02    -0.14902931E+00     0.50000001E-01     0.16126502E-02     0.42494028E-02     112     0.20008549E-01
-0.75000005E+01    -0.14383733E+00     0.98332902E-02     0.10000000E+02    -0.14979421E+00     0.50000001E-01     0.16731024E-02     0.39540045E-02     113     0.15814468E-01
-0.70000014E+01    -0.89385748E-01     0.96274037E-02     0.10000000E+02    -0.15053107E+00     0.50000001E-01     0.17373919E-02     0.36980086E-02     113     0.15814468E-01
-0.65000010E+01    -0.34966610E-01     0.94551425E-02     0.10000000E+02    -0.15122911E+00     0.50000001E-01     0.18136757E-02     0.34782803E-02     114     0.12312653E-01
-0.60000000E+01     0.19304816E-01     0.93252501E-02     0.10000000E+02    -0.15187003E+00     0.50000001E-01     0.18963199E-02     0.33093751E-02     114     0.12312653E-01
-0.55000014E+01     0.73224001E-01     0.92633730E-02     0.10000000E+02    -0.15240912E+00     0.50000001E-01     0.19401156E-02     0.32281610E-02     115     0.94276369E-02
-0.50000010E+01     0.12664504E+00     0.92708925E-02     0.10000000E+02    -0.15281941E+00     0.50000001E-01     0.19580512E-02     0.32396642E-02     115     0.94276369E-02
-0.45000000E+01     0.17976968E+00     0.92369756E-02     0.10000000E+02    -0.15316939E+00     0.50000001E-01     0.19754644E-02     0.31864690E-02     116     0.70737679E-02
-0.35000007E+01     0.28706899E+00     0.89735677E-02     0.10000000E+02    -0.15409783E+00     0.50000001E-01     0.26603295E-02     0.27599148E-02     117     0.51714336E-02
-0.30000000E+01     0.33031958E+00     0.89462334E-02     0.10000000E+02    -0.15225123E+00     0.50000001E-01     0.32713418E-02     0.27132737E-02     118     0.36527826E-02
-0.25000012E+01     0.37953705E+00     0.89656636E-02     0.10000000E+02    -0.15176792E+00     0.50000001E-01     0.40204222E-02     0.27115983E-02     118     0.36527826E-02
-0.20000007E+01     0.42834350E+00     0.90288054E-02     0.10000000E+02    -0.15123282E+00     0.50000001E-01     0.49920930E-02     0.27586794E-02     119     0.24619452E-02
-0.15000000E+01     0.47961330E+00     0.91410819E-02     0.10000000E+02    -0.15127607E+00     0.50000001E-01     0.96068438E-02     0.28651790E-02     120     0.15539202E-02
-0.10000012E+01     0.53098130E+00     0.92968410E-02     0.10000000E+02    -0.15136971E+00     0.50000001E-01     0.14080285E-01     0.30132104E-02     120     0.15539202E-02
-0.50000060E+00     0.58129525E+00     0.94703725E-02     0.10000000E+02    -0.15128590E+00     0.50000001E-01     0.25123149E-01     0.31928197E-02     121     0.88727381E-03
 0.00000000E+00     0.63062131E+00     0.96551068E-02     0.10000000E+02    -0.15105726E+00     0.50000001E-01     0.50000001E-01     0.34130239E-02     122     0.43513128E-03
 0.49999887E+00     0.67768461E+00     0.99245040E-02     0.10000000E+02    -0.15036327E+00     0.50000001E-01     0.50000001E-01     0.36675916E-02     122     0.43513128E-03
 0.99999946E+00     0.72357816E+00     0.10230060E-01     0.10000000E+02    -0.14948881E+00     0.50000001E-01     0.50000001E-01     0.39630495E-02     123     0.15762885E-03
 0.14999983E+01     0.76830345E+00     0.10578020E-01     0.10000000E+02    -0.14844282E+00     0.50000001E-01     0.50000001E-01     0.43055890E-02     124     0.69991256E-05
 0.19999989E+01     0.81195474E+00     0.10974504E-01     0.10000000E+02    -0.14726025E+00     0.50000001E-01     0.50000001E-01     0.47011664E-02     124     0.69991256E-05
 0.24999995E+01     0.85444236E+00     0.11426415E-01     0.10000000E+02    -0.14592896E+00     0.50000001E-01     0.50000001E-01     0.51571410E-02     125     0.10441958E-03
 0.29999983E+01     0.89575720E+00     0.11941915E-01     0.10000000E+02    -0.14446364E+00     0.50000001E-01     0.50000001E-01     0.56798393E-02     125     0.10441958E-03
 0.34999990E+01     0.93583024E+00     0.12527158E-01     0.10000000E+02    -0.14286220E+00     0.50000001E-01     0.50000001E-01     0.62786206E-02     126     0.80161711E-03
 0.39999995E+01     0.97464365E+00     0.13187720E-01     0.10000000E+02    -0.14112553E+00     0.50000001E-01     0.50000001E-01     0.69548097E-02     126     0.80161711E-03
 0.44999986E+01     0.10123587E+01     0.13926714E-01     0.10000000E+02    -0.13930461E+00     0.50000001E-01     0.50000001E-01     0.77160047E-02     127     0.19695493E-02
 0.49999990E+01     0.10479482E+01     0.14780109E-01     0.10000000E+02    -0.13723867E+00     0.50000001E-01     0.50000001E-01     0.85968077E-02     128     0.34566089E-02
 0.54999995E+01     0.10703036E+01     0.16254826E-01     0.10000000E+02    -0.13322324E+00     0.28753012E-01     0.50000001E-01     0.10024898E-01     128     0.34566089E-02
 0.60000000E+01     0.10982031E+01     0.17532395E-01     0.10000000E+02    -0.13024472E+00     0.23586825E-01     0.50000001E-01     0.11315912E-01     129     0.52236090E-02
 0.65000010E+01     0.11219430E+01     0.19037027E-01     0.10000000E+02    -0.12681039E+00     0.17208073E-01     0.50000001E-01     0.12829611E-01     129     0.52236090E-02
 0.69999981E+01     0.11328852E+01     0.21191264E-01     0.10000000E+02    -0.12169430E+00     0.15088401E-03     0.50000001E-01     0.14979091E-01     130     0.72841025E-02
 0.74999986E+01     0.11555969E+01     0.22818521E-01     0.10000000E+02    -0.11847667E+00     0.11154167E-03     0.50000001E-01     0.16645709E-01     130     0.72841025E-02
 0.79999990E+01     0.11771098E+01     0.24539905E-01     0.10000000E+02    -0.11524997E+00     0.96003030E-04     0.50000001E-01     0.18410984E-01     131     0.96826199E-02
 0.85000000E+01     0.11958359E+01     0.26442159E-01     0.10000000E+02    -0.11178738E+00     0.14594923E-04     0.50000001E-01     0.20371554E-01     131     0.96826199E-02
 0.90000000E+01     0.12144485E+01     0.28410316E-01     0.10000000E+02    -0.10849413E+00     0.11774424E-04     0.50000001E-01     0.22399586E-01     132     0.12489815E-01
 0.94999971E+01     0.12329047E+01     0.30448256E-01     0.10000000E+02    -0.10534243E+00     0.10237546E-04     0.50000001E-01     0.24500225E-01     132     0.12489815E-01
 0.99999981E+01     0.12473902E+01     0.32782238E-01     0.10000000E+02    -0.10191066E+00     0.87439357E-05     0.50000001E-01     0.26915397E-01     132     0.12489815E-01
 0.10499999E+02     0.12637084E+01     0.35066403E-01     0.10000000E+02    -0.98855019E-01     0.84222929E-05     0.50000001E-01     0.29273771E-01     133     0.15804468E-01
 0.10999999E+02     0.12775587E+01     0.37549969E-01     0.10000000E+02    -0.95666200E-01     0.79043384E-05     0.50000001E-01     0.31845491E-01     133     0.15804468E-01
 0.11500000E+02     0.12901057E+01     0.40213563E-01     0.10000000E+02    -0.92585877E-01     0.76815668E-05     0.50000001E-01     0.34599300E-01     134     0.19752175E-01
 0.12000000E+02     0.13025459E+01     0.42963080E-01     0.10000000E+02    -0.89710727E-01     0.75862713E-05     0.50000001E-01     0.37437633E-01     134     0.19752175E-01
 0.12499997E+02     0.13117331E+01     0.45975141E-01     0.10000000E+02    -0.86674660E-01     0.74044424E-05     0.50000001E-01     0.40551819E-01     134     0.19752175E-01
 0.12999998E+02     0.13223513E+01     0.49011245E-01     0.10000000E+02    -0.84044784E-01     0.73377537E-05     0.50000001E-01     0.43686647E-01     135     0.24480455E-01
 0.13499999E+02     0.13318017E+01     0.52207328E-01     0.10000000E+02    -0.81553899E-01     0.72923408E-05     0.50000001E-01     0.46983473E-01     135     0.24480455E-01
 0.13999999E+02     0.13373979E+01     0.55857942E-01     0.10000000E+02    -0.79102255E-01     0.72533649E-05     0.50000001E-01     0.50744057E-01     135     0.24480455E-01
 0.14500000E+02     0.13414602E+01     0.59783567E-01     0.10000000E+02    -0.76896153E-01     0.72143885E-05     0.50000001E-01     0.54785252E-01     136     0.30128919E-01
 0.15000001E+02     0.13449026E+01     0.63874274E-01     0.10000000E+02    -0.75040318E-01     0.71950794E-05     0.50000001E-01     0.58992080E-01     136     0.30128919E-01
 0.15499998E+02     0.13411434E+01     0.68827935E-01     0.10000000E+02    -0.73400155E-01     0.71561030E-05     0.50000001E-01     0.64074680E-01     136     0.30128919E-01
 0.15999998E+02     0.13432931E+01     0.73312901E-01     0.10000000E+02    -0.72480187E-01     0.71453755E-05     0.50000001E-01     0.68679273E-01     136     0.30128919E-01
 0.16499998E+02     0.13376666E+01     0.78799166E-01     0.10000000E+02    -0.72103560E-01     0.71260665E-05     0.50000001E-01     0.74299507E-01     137     0.36775343E-01
 0.17000000E+02     0.13358034E+01     0.84049180E-01     0.10000000E+02    -0.72486259E-01     0.71224904E-05     0.50000001E-01     0.79678744E-01     137     0.36775343E-01
 0.17500000E+02     0.13266011E+01     0.90113081E-01     0.10000000E+02    -0.73463291E-01     0.71060417E-05     0.50000001E-01     0.85879520E-01     137     0.36775343E-01
 0.18000000E+02     0.13251513E+01     0.95853329E-01     0.10000000E+02    -0.75588994E-01     0.71056843E-05     0.50000001E-01     0.91755599E-01     137     0.36775343E-01
 0.18499998E+02     0.13118603E+01     0.10299855E+00     0.10000000E+02    -0.78773640E-01     0.70853025E-05     0.50000001E-01     0.99044949E-01     137     0.36775343E-01
 0.18999998E+02     0.13149406E+01     0.11176644E+00     0.10000000E+02    -0.85691050E-01     0.70813689E-05     0.70061469E+00     0.10873298E+00     138     0.44375375E-01
 0.19499998E+02     0.13067406E+01     0.11961381E+00     0.10000000E+02    -0.91454476E-01     0.70756478E-05     0.70364833E+00     0.11673494E+00     138     0.44375375E-01
 0.20000000E+02     0.12998441E+01     0.12766595E+00     0.10000000E+02    -0.97493984E-01     0.70924539E-05     0.70614505E+00     0.12494255E+00     138     0.44375375E-01
