  
       RFOIL         Version 3.00
  
 Calculated polar for: riso-a-18                       
  
 1  Reynolds number fixed
  
 xtrf =      1.00000000 (suction)     1.00000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     10.00000000 e 6     Ncrit =      9.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.20500000E+02    -0.12056450E+01     0.11466198E+00     0.10000000E+02     0.32225348E-01     0.78299999E+00     0.60814815E-02     0.11254403E+00     101     0.78887835E-01
-0.18000000E+02    -0.15971777E+01     0.26809666E-01     0.10000000E+02    -0.38722016E-01     0.74209070E+00     0.60108276E-02     0.23177255E-01     100     0.86348340E-01
-0.17500000E+02    -0.16299165E+01     0.20846216E-01     0.10000000E+02    -0.37523121E-01     0.72625506E+00     0.61519626E-02     0.16946251E-01     100     0.86348340E-01
-0.17000002E+02    -0.16158322E+01     0.20746624E-01     0.10000000E+02    -0.34186989E-01     0.71233106E+00     0.61598318E-02     0.16692340E-01     101     0.78887835E-01
-0.16500000E+02    -0.15731905E+01     0.19469324E-01     0.10000000E+02    -0.33051424E-01     0.69656521E+00     0.62767360E-02     0.15339073E-01     101     0.78887835E-01
-0.16000002E+02    -0.15264969E+01     0.18414138E-01     0.10000000E+02    -0.32236632E-01     0.68236005E+00     0.63653043E-02     0.14216415E-01     101     0.78887835E-01
-0.15500001E+02    -0.14770925E+01     0.17514002E-01     0.10000000E+02    -0.31655598E-01     0.66439837E+00     0.64148344E-02     0.13251461E-01     102     0.71497872E-01
-0.14500000E+02    -0.13755093E+01     0.15644917E-01     0.10000000E+02    -0.30843897E-01     0.62118345E+00     0.68661058E-02     0.11202585E-01     103     0.64207487E-01
-0.14000001E+02    -0.13226843E+01     0.14785557E-01     0.10000000E+02    -0.30646415E-01     0.59883964E+00     0.72316667E-02     0.10261431E-01     103     0.64207487E-01
-0.13500001E+02    -0.12682573E+01     0.14064261E-01     0.10000000E+02    -0.30615896E-01     0.57009560E+00     0.75896494E-02     0.94577186E-02     104     0.57060111E-01
-0.13000001E+02    -0.12125611E+01     0.13452304E-01     0.10000000E+02    -0.30691124E-01     0.54488426E+00     0.78549683E-02     0.87722335E-02     104     0.57060111E-01
-0.12500001E+02    -0.11558566E+01     0.12940290E-01     0.10000000E+02    -0.30874204E-01     0.51691675E+00     0.80860313E-02     0.81760399E-02     105     0.50117161E-01
-0.11500001E+02    -0.10407405E+01     0.12002429E-01     0.10000000E+02    -0.31425279E-01     0.47451931E+00     0.85975891E-02     0.70991088E-02     106     0.43460943E-01
-0.11000001E+02    -0.98269367E+00     0.11492481E-01     0.10000000E+02    -0.31789489E-01     0.45663533E+00     0.91992589E-02     0.65276409E-02     106     0.43460943E-01
-0.10500001E+02    -0.92403257E+00     0.11058538E-01     0.10000000E+02    -0.32210708E-01     0.44328597E+00     0.96887136E-02     0.60510617E-02     107     0.37191104E-01
