  
       RFOIL         Version 3.00
  
 Calculated polar for: riso-b-35                       
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     13.00000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
  ------- -------- --------- --------- -------- ------- ------- -------- 
-0.10500001E+02    -0.94534442E-01     0.12369391E+00     0.13000000E+02    -0.96958345E-02     0.50000001E-01     0.50000001E-01     0.11887674E+00      98     0.55033532E-02
-0.95000010E+01    -0.64522818E-01     0.11178505E+00     0.13000000E+02    -0.98385122E-02     0.50000001E-01     0.50000001E-01     0.10683105E+00     100     0.35997981E-02
-0.90000000E+01    -0.90327458E-02     0.11288280E+00     0.13000000E+02    -0.14934925E-01     0.50000001E-01     0.50000001E-01     0.10797468E+00     101     0.28054554E-02
-0.85000019E+01     0.17186265E-01     0.10878778E+00     0.13000000E+02    -0.16714705E-01     0.50000001E-01     0.50000001E-01     0.10384437E+00     101     0.28054554E-02
-0.80000010E+01     0.48255727E-01     0.10554921E+00     0.13000000E+02    -0.18386124E-01     0.50000001E-01     0.50000001E-01     0.10058216E+00     102     0.21128419E-02
-0.75000005E+01     0.75105861E-01     0.10160124E+00     0.13000000E+02    -0.20116637E-01     0.50000001E-01     0.50000001E-01     0.96600942E-01     103     0.15200539E-02
-0.70000014E+01     0.10650371E+00     0.98461248E-01     0.13000000E+02    -0.21751566E-01     0.50000001E-01     0.50000001E-01     0.93438715E-01     104     0.10256239E-02
-0.65000010E+01     0.13746631E+00     0.95185362E-01     0.13000000E+02    -0.23373211E-01     0.50000001E-01     0.50000001E-01     0.90139553E-01     105     0.62845019E-03
-0.60000000E+01     0.16574988E+00     0.91536529E-01     0.13000000E+02    -0.25018351E-01     0.50000001E-01     0.50000001E-01     0.86461961E-01     106     0.32773663E-03
-0.55000014E+01     0.19780239E+00     0.88485733E-01     0.13000000E+02    -0.26587201E-01     0.50000001E-01     0.50000001E-01     0.83391145E-01     106     0.32773663E-03
-0.50000010E+01     0.22594564E+00     0.84795617E-01     0.13000000E+02    -0.28192969E-01     0.50000001E-01     0.50000001E-01     0.79672791E-01     107     0.12402880E-03
-0.45000000E+01     0.25854608E+00     0.81860572E-01     0.13000000E+02    -0.29697130E-01     0.50000001E-01     0.50000001E-01     0.76719843E-01     108     0.17901777E-04
-0.40000014E+01     0.28682342E+00     0.78290142E-01     0.13000000E+02    -0.31246392E-01     0.50000001E-01     0.50000001E-01     0.73122695E-01     109     0.68239260E-05
-0.35000007E+01     0.31978288E+00     0.75472459E-01     0.13000000E+02    -0.32690335E-01     0.50000001E-01     0.50000001E-01     0.70288934E-01     110     0.88866786E-04
-0.30000000E+01     0.34823850E+00     0.72024375E-01     0.13000000E+02    -0.34171209E-01     0.50000001E-01     0.50000001E-01     0.66815704E-01     110     0.88866786E-04
-0.25000012E+01     0.38126382E+00     0.69318548E-01     0.13000000E+02    -0.35544023E-01     0.50000001E-01     0.50000001E-01     0.64095154E-01     111     0.26318597E-03
-0.20000007E+01     0.40998146E+00     0.66012308E-01     0.13000000E+02    -0.36945123E-01     0.50000001E-01     0.50000001E-01     0.60766052E-01     112     0.53115562E-03
-0.15000000E+01     0.44127801E+00     0.63161984E-01     0.13000000E+02    -0.38256492E-01     0.50000001E-01     0.50000001E-01     0.57899058E-01     113     0.89524133E-03
-0.10000012E+01     0.47173196E+00     0.60259413E-01     0.13000000E+02    -0.39535027E-01     0.50000001E-01     0.50000001E-01     0.54979410E-01     113     0.89524133E-03
-0.50000060E+00     0.49971160E+00     0.57132859E-01     0.13000000E+02    -0.40788271E-01     0.50000001E-01     0.50000001E-01     0.51832270E-01     114     0.13569740E-02
 0.00000000E+00     0.53287256E+00     0.54790959E-01     0.13000000E+02    -0.41897602E-01     0.50000001E-01     0.50000001E-01     0.49481265E-01     115     0.19174899E-02
 0.49999887E+00     0.56030029E+00     0.51807981E-01     0.13000000E+02    -0.43000124E-01     0.50000001E-01     0.50000001E-01     0.46479922E-01     116     0.25781668E-02
 0.99999946E+00     0.58707732E+00     0.48884727E-01     0.13000000E+02    -0.44008605E-01     0.50000001E-01     0.50000001E-01     0.43539055E-01     116     0.25781668E-02
 0.14999983E+01     0.61892736E+00     0.46739306E-01     0.13000000E+02    -0.44830076E-01     0.50000001E-01     0.50000001E-01     0.41387621E-01     117     0.33406196E-02
 0.19999989E+01     0.64391774E+00     0.43977879E-01     0.13000000E+02    -0.45557689E-01     0.50000001E-01     0.50000001E-01     0.38610976E-01     118     0.42067529E-02
 0.24999995E+01     0.66709030E+00     0.41260187E-01     0.13000000E+02    -0.46064854E-01     0.50000001E-01     0.50000001E-01     0.35878718E-01     119     0.51788972E-02
 0.29999983E+01     0.68800282E+00     0.38632751E-01     0.13000000E+02    -0.46283431E-01     0.50000001E-01     0.50000001E-01     0.33237815E-01     119     0.51788972E-02
 0.34999990E+01     0.70525175E+00     0.36050614E-01     0.13000000E+02    -0.46024311E-01     0.50000001E-01     0.50000001E-01     0.30644488E-01     120     0.62600919E-02
 0.39999995E+01     0.71576446E+00     0.33490919E-01     0.13000000E+02    -0.44906020E-01     0.50000001E-01     0.50000001E-01     0.28076012E-01     120     0.62600919E-02
 0.44999986E+01     0.70883036E+00     0.30935807E-01     0.13000000E+02    -0.41233402E-01     0.50000001E-01     0.50000001E-01     0.25519451E-01     121     0.74542435E-02
 0.49999990E+01     0.66154236E+00     0.27590916E-01     0.13000000E+02    -0.34813359E-01     0.50000001E-01     0.50000001E-01     0.22159584E-01     121     0.74542435E-02
 0.54999995E+01     0.70420760E+00     0.23991061E-01     0.13000000E+02    -0.44382244E-01     0.50000001E-01     0.50000001E-01     0.18488223E-01     122     0.87660719E-02
 0.60000000E+01     0.80505049E+00     0.21122988E-01     0.13000000E+02    -0.61931975E-01     0.50000001E-01     0.50000001E-01     0.15520399E-01     123     0.10201685E-01
