  
       RFOIL         Version 3.00
  
 Calculated polar for: du_96-w-180                     
  
 1  Reynolds number fixed
  
 xtrf =      0.05000000 (suction)     0.05000000 (pressure)
 Rot. Parameters:  f0 =      1.00000000 c/r =      0.00000000
 Mach =      0.00000000     Re =     10.00000000 e 6     Ncrit =      3.00000000
  
             alpha                CL                CD            Re(CL)                CM             S_xtr             P_xtr               CDp            I_stag            X_stag
-0.55000014E+01    -0.35575050E+00     0.87676365E-02     0.10000000E+02    -0.48439428E-01     0.50000001E-01     0.11946650E-01     0.25681821E-02     112     0.11402040E-01
-0.50000010E+01    -0.29651874E+00     0.86266715E-02     0.10000000E+02    -0.49507581E-01     0.50000001E-01     0.14945853E-01     0.24192012E-02     113     0.88559883E-02
-0.45000000E+01    -0.23709056E+00     0.85131796E-02     0.10000000E+02    -0.50602462E-01     0.50000001E-01     0.18027214E-01     0.22976194E-02     113     0.88559883E-02
-0.40000014E+01    -0.17757639E+00     0.83983447E-02     0.10000000E+02    -0.51722720E-01     0.50000001E-01     0.23855612E-01     0.21865251E-02     114     0.67369929E-02
-0.35000007E+01    -0.11798996E+00     0.82750628E-02     0.10000000E+02    -0.52870382E-01     0.50000001E-01     0.35788015E-01     0.20851004E-02     115     0.49813110E-02
-0.30000000E+01    -0.58297258E-01     0.81743030E-02     0.10000000E+02    -0.54039210E-01     0.50000001E-01     0.50000001E-01     0.20087771E-02     116     0.35402507E-02
-0.25000012E+01     0.15370992E-02     0.81729162E-02     0.10000000E+02    -0.55185735E-01     0.50000001E-01     0.50000001E-01     0.19847970E-02     117     0.23781518E-02
-0.20000007E+01     0.61347388E-01     0.81821904E-02     0.10000000E+02    -0.56334581E-01     0.50000001E-01     0.50000001E-01     0.19747745E-02     117     0.23781518E-02
-0.15000000E+01     0.12111475E+00     0.82019232E-02     0.10000000E+02    -0.57482503E-01     0.50000001E-01     0.50000001E-01     0.19774055E-02     118     0.14690644E-02
-0.10000012E+01     0.18081832E+00     0.82322704E-02     0.10000000E+02    -0.58627438E-01     0.50000001E-01     0.50000001E-01     0.19932026E-02     119     0.79359440E-03
-0.50000060E+00     0.24044111E+00     0.82731778E-02     0.10000000E+02    -0.59765361E-01     0.50000001E-01     0.50000001E-01     0.20220783E-02     120     0.33633996E-03
 0.00000000E+00     0.29996482E+00     0.83247367E-02     0.10000000E+02    -0.60893781E-01     0.50000001E-01     0.50000001E-01     0.20641452E-02     121     0.76891178E-04
 0.49999887E+00     0.35936552E+00     0.83868727E-02     0.10000000E+02    -0.62010977E-01     0.50000001E-01     0.50000001E-01     0.21193451E-02     122     0.77083359E-06
 0.99999946E+00     0.41862494E+00     0.84597683E-02     0.10000000E+02    -0.63111179E-01     0.50000001E-01     0.50000001E-01     0.21877890E-02     123     0.12547919E-03
 0.14999983E+01     0.47772506E+00     0.85435547E-02     0.10000000E+02    -0.64193219E-01     0.50000001E-01     0.50000001E-01     0.22690864E-02     123     0.12547919E-03
 0.19999989E+01     0.53664023E+00     0.86383987E-02     0.10000000E+02    -0.65251961E-01     0.50000001E-01     0.50000001E-01     0.23642294E-02     124     0.50187449E-03
 0.24999995E+01     0.59534848E+00     0.87445090E-02     0.10000000E+02    -0.66285171E-01     0.50000001E-01     0.50000001E-01     0.24731625E-02     125     0.11349430E-02
 0.29999983E+01     0.65382469E+00     0.88620130E-02     0.10000000E+02    -0.67287959E-01     0.50000001E-01     0.50000001E-01     0.25960705E-02     126     0.20248892E-02
 0.34999990E+01     0.71204191E+00     0.89913830E-02     0.10000000E+02    -0.68256743E-01     0.50000001E-01     0.50000001E-01     0.27333545E-02     127     0.31719194E-02
 0.39999995E+01     0.76997095E+00     0.91329990E-02     0.10000000E+02    -0.69186427E-01     0.50000001E-01     0.50000001E-01     0.28843754E-02     127     0.31719194E-02
 0.44999986E+01     0.82757950E+00     0.92870938E-02     0.10000000E+02    -0.70072420E-01     0.50000001E-01     0.50000001E-01     0.30514933E-02     128     0.45839814E-02
 0.49999990E+01     0.88483268E+00     0.94541842E-02     0.10000000E+02    -0.70909120E-01     0.50000001E-01     0.50000001E-01     0.32343161E-02     129     0.62793037E-02
 0.54999995E+01     0.93902719E+00     0.98647969E-02     0.10000000E+02    -0.71257718E-01     0.28978143E-01     0.50000001E-01     0.35749399E-02     130     0.82887802E-02
 0.60000000E+01     0.99360037E+00     0.10198520E-01     0.10000000E+02    -0.71673244E-01     0.19904567E-01     0.50000001E-01     0.38836054E-02     130     0.82887802E-02
 0.65000010E+01     0.10476631E+01     0.10532551E-01     0.10000000E+02    -0.72015174E-01     0.14963734E-01     0.50000001E-01     0.42068590E-02     131     0.10657148E-01
 0.69999981E+01     0.11012182E+01     0.10863202E-01     0.10000000E+02    -0.72284929E-01     0.12550460E-01     0.50000001E-01     0.45411023E-02     132     0.13445469E-01
 0.74999986E+01     0.11538161E+01     0.11217625E-01     0.10000000E+02    -0.72409011E-01     0.10773883E-01     0.50000001E-01     0.49020406E-02     132     0.13445469E-01
 0.79999990E+01     0.12048723E+01     0.11623356E-01     0.10000000E+02    -0.72291791E-01     0.89126499E-02     0.50000001E-01     0.53122458E-02     133     0.16730174E-01
 0.85000000E+01     0.12547823E+01     0.12040542E-01     0.10000000E+02    -0.71997553E-01     0.80061015E-02     0.50000001E-01     0.57442710E-02     133     0.16730174E-01
 0.90000000E+01     0.13024848E+01     0.12513062E-01     0.10000000E+02    -0.71353167E-01     0.72334628E-02     0.50000001E-01     0.62318337E-02     134     0.20591522E-01
 0.94999971E+01     0.13474838E+01     0.13034756E-01     0.10000000E+02    -0.70275500E-01     0.62956200E-02     0.50000001E-01     0.67731100E-02     134     0.20591522E-01
 0.99999981E+01     0.13786291E+01     0.13590352E-01     0.10000000E+02    -0.66529803E-01     0.58582108E-02     0.50000001E-01     0.73599969E-02     135     0.25104849E-01
 0.10499999E+02     0.14109595E+01     0.14429815E-01     0.10000000E+02    -0.63604921E-01     0.54469039E-02     0.50000001E-01     0.82343630E-02     135     0.25104849E-01
 0.10999999E+02     0.14401205E+01     0.15490234E-01     0.10000000E+02    -0.60694996E-01     0.51506246E-02     0.50000001E-01     0.93436120E-02     136     0.30322611E-01
 0.11500000E+02     0.14645491E+01     0.16878853E-01     0.10000000E+02    -0.57654791E-01     0.47979685E-02     0.50000001E-01     0.10791113E-01     136     0.30322611E-01
 0.12000000E+02     0.14837627E+01     0.18734967E-01     0.10000000E+02    -0.54655440E-01     0.45618275E-02     0.50000001E-01     0.12715001E-01     136     0.30322611E-01
 0.12499997E+02     0.14967278E+01     0.21255106E-01     0.10000000E+02    -0.51869277E-01     0.43900730E-02     0.50000001E-01     0.15318129E-01     137     0.36251653E-01
 0.12999998E+02     0.15012461E+01     0.24733506E-01     0.10000000E+02    -0.49420089E-01     0.40572491E-02     0.50000001E-01     0.18891670E-01     137     0.36251653E-01
 0.13499999E+02     0.14991283E+01     0.29088587E-01     0.10000000E+02    -0.47488365E-01     0.39239107E-02     0.50000001E-01     0.23358511E-01     137     0.36251653E-01
 0.13999999E+02     0.14891775E+01     0.34201108E-01     0.10000000E+02    -0.45691505E-01     0.37932899E-02     0.50000001E-01     0.28592525E-01     137     0.36251653E-01
 0.14500000E+02     0.14920536E+01     0.39023641E-01     0.10000000E+02    -0.47203869E-01     0.36634661E-02     0.73790079E+00     0.34483191E-01     138     0.42841937E-01
 0.15000001E+02     0.14682815E+01     0.45177747E-01     0.10000000E+02    -0.45356184E-01     0.35999278E-02     0.74482065E+00     0.40785816E-01     138     0.42841937E-01
 0.15499998E+02     0.14473006E+01     0.51394537E-01     0.10000000E+02    -0.44237453E-01     0.35360628E-02     0.75843459E+00     0.47157723E-01     138     0.42841937E-01
 0.15999998E+02     0.14331816E+01     0.57430621E-01     0.10000000E+02    -0.43885723E-01     0.34875835E-02     0.76531339E+00     0.53319801E-01     138     0.42841937E-01
 0.16499998E+02     0.14231975E+01     0.63536867E-01     0.10000000E+02    -0.44253327E-01     0.33788413E-02     0.77946419E+00     0.59557185E-01     138     0.42841937E-01
 0.17000000E+02     0.14146936E+01     0.69845468E-01     0.10000000E+02    -0.45152850E-01     0.31040162E-02     0.78659570E+00     0.65977536E-01     138     0.42841937E-01
 0.17500000E+02     0.14094787E+01     0.76078579E-01     0.10000000E+02    -0.46529979E-01     0.28842026E-02     0.79379916E+00     0.72315834E-01     139     0.50000086E-01
 0.18000000E+02     0.14065468E+01     0.82373492E-01     0.10000000E+02    -0.48491858E-01     0.27894161E-02     0.80519098E+00     0.78723647E-01     139     0.50000086E-01
 0.18499998E+02     0.14051805E+01     0.88710912E-01     0.10000000E+02    -0.50908107E-01     0.26989053E-02     0.81734848E+00     0.85172743E-01     139     0.50000086E-01
 0.18999998E+02     0.14093195E+01     0.94414450E-01     0.10000000E+02    -0.53421434E-01     0.28024807E-02     0.82600546E+00     0.90974331E-01     139     0.50000086E-01
 0.19499998E+02     0.14078654E+01     0.10112008E+00     0.10000000E+02    -0.56887299E-01     0.24921831E-02     0.84513795E+00     0.97808495E-01     140     0.57616703E-01
 0.20000000E+02     0.14097995E+01     0.10744949E+00     0.10000000E+02    -0.60546998E-01     0.24788128E-02     0.85632908E+00     0.10424619E+00     140     0.57616703E-01
